Age,Total,Male,Female
Total,"19,336,776","9,390,497","9,946,279"
< 1,"220,972","112,830","108,142"
1,"219,860","111,968","107,892"
2,"222,502","113,880","108,622"
3,"221,495","113,289","108,206"
4,"223,496","114,546","108,950"
5-9,"1,114,413","570,028","544,385"
10-14,"1,090,249","557,448","532,801"
15-17,"675,367","345,096","330,271"
18-19,"478,313","241,660","236,653"
20-24,"1,243,572","620,541","623,031"
25-29,"1,427,987","713,310","714,677"
30-34,"1,409,561","708,311","701,250"
35-39,"1,268,344","629,546","638,798"
40-44,"1,162,869","571,776","591,093"
45-49,"1,152,921","561,666","591,255"
50-54,"1,250,590","606,985","643,605"
55-59,"1,326,609","638,490","688,119"
60-64,"1,258,087","599,961","658,126"
65-69,"1,050,113","490,770","559,343"
70-74,"862,609","390,596","472,013"
75-79,"592,543","255,230","337,313"
80-84,"403,785","163,410","240,375"
85+,"460,519","159,160","301,359"
