"dma_json_code","date","keyword","hits","ratio"
"US",2020-04-01,"%2Fm%2F027vd9",31,1
"US",2020-05-01,"%2Fm%2F027vd9",30,1
"US",2020-06-01,"%2Fm%2F027vd9",29,1
"US",2020-07-01,"%2Fm%2F027vd9",28,1
"US",2020-08-01,"%2Fm%2F027vd9",30,1
"US",2020-09-01,"%2Fm%2F027vd9",35,1
"US",2020-10-01,"%2Fm%2F027vd9",40,1
"US",2020-11-01,"%2Fm%2F027vd9",31,1
"US",2020-12-01,"%2Fm%2F027vd9",30,1
"US",2021-01-01,"%2Fm%2F027vd9",31,1
"US",2021-02-01,"%2Fm%2F027vd9",33,1
"US",2021-03-01,"%2Fm%2F027vd9",38,1
"US-AK",2012-01-01,"%2Fm%2F027vd9",21,1.27629851917751
"US-AK",2012-02-01,"%2Fm%2F027vd9",60,1.27629851917751
"US-AK",2012-03-01,"%2Fm%2F027vd9",66,1.27629851917751
"US-AK",2012-04-01,"%2Fm%2F027vd9",94,1.27629851917751
"US-AK",2012-05-01,"%2Fm%2F027vd9",32,1.27629851917751
"US-AK",2012-06-01,"%2Fm%2F027vd9",12,1.27629851917751
"US-AK",2012-07-01,"%2Fm%2F027vd9",11,1.27629851917751
"US-AK",2012-08-01,"%2Fm%2F027vd9",0,1.27629851917751
"US-AK",2012-09-01,"%2Fm%2F027vd9",54,1.27629851917751
"US-AK",2012-10-01,"%2Fm%2F027vd9",70,1.27629851917751
"US-AK",2012-11-01,"%2Fm%2F027vd9",51,1.27629851917751
"US-AK",2012-12-01,"%2Fm%2F027vd9",33,1.27629851917751
"US-AK",2013-01-01,"%2Fm%2F027vd9",21,1.27629851917751
"US-AK",2013-02-01,"%2Fm%2F027vd9",10,1.27629851917751
"US-AK",2013-03-01,"%2Fm%2F027vd9",82,1.27629851917751
"US-AK",2013-04-01,"%2Fm%2F027vd9",73,1.27629851917751
"US-AK",2013-05-01,"%2Fm%2F027vd9",57,1.27629851917751
"US-AK",2013-06-01,"%2Fm%2F027vd9",0,1.27629851917751
"US-AK",2013-07-01,"%2Fm%2F027vd9",30,1.27629851917751
"US-AK",2013-08-01,"%2Fm%2F027vd9",19,1.27629851917751
"US-AK",2013-09-01,"%2Fm%2F027vd9",47,1.27629851917751
"US-AK",2013-10-01,"%2Fm%2F027vd9",35,1.27629851917751
"US-AK",2013-11-01,"%2Fm%2F027vd9",47,1.27629851917751
"US-AK",2013-12-01,"%2Fm%2F027vd9",27,1.27629851917751
"US-AK",2014-01-01,"%2Fm%2F027vd9",44,1.27629851917751
"US-AK",2014-02-01,"%2Fm%2F027vd9",97,1.27629851917751
"US-AK",2014-03-01,"%2Fm%2F027vd9",9,1.27629851917751
"US-AK",2014-04-01,"%2Fm%2F027vd9",97,1.27629851917751
"US-AK",2014-05-01,"%2Fm%2F027vd9",48,1.27629851917751
"US-AK",2014-06-01,"%2Fm%2F027vd9",33,1.27629851917751
"US-AK",2014-07-01,"%2Fm%2F027vd9",43,1.27629851917751
"US-AK",2014-08-01,"%2Fm%2F027vd9",21,1.27629851917751
"US-AK",2014-09-01,"%2Fm%2F027vd9",70,1.27629851917751
"US-AK",2014-10-01,"%2Fm%2F027vd9",58,1.27629851917751
"US-AK",2014-11-01,"%2Fm%2F027vd9",60,1.27629851917751
"US-AK",2014-12-01,"%2Fm%2F027vd9",10,1.27629851917751
"US-AK",2015-01-01,"%2Fm%2F027vd9",20,1.27629851917751
"US-AK",2015-02-01,"%2Fm%2F027vd9",62,1.27629851917751
"US-AK",2015-03-01,"%2Fm%2F027vd9",57,1.27629851917751
"US-AK",2015-04-01,"%2Fm%2F027vd9",29,1.27629851917751
"US-AK",2015-05-01,"%2Fm%2F027vd9",30,1.27629851917751
"US-AK",2015-06-01,"%2Fm%2F027vd9",20,1.27629851917751
"US-AK",2015-07-01,"%2Fm%2F027vd9",19,1.27629851917751
"US-AK",2015-08-01,"%2Fm%2F027vd9",56,1.27629851917751
"US-AK",2015-09-01,"%2Fm%2F027vd9",84,1.27629851917751
"US-AK",2015-10-01,"%2Fm%2F027vd9",61,1.27629851917751
"US-AK",2015-11-01,"%2Fm%2F027vd9",37,1.27629851917751
"US-AK",2015-12-01,"%2Fm%2F027vd9",27,1.27629851917751
"US-AK",2016-01-01,"%2Fm%2F027vd9",51,1.27629851917751
"US-AK",2016-02-01,"%2Fm%2F027vd9",18,1.27629851917751
"US-AK",2016-03-01,"%2Fm%2F027vd9",33,1.27629851917751
"US-AK",2016-04-01,"%2Fm%2F027vd9",42,1.27629851917751
"US-AK",2016-05-01,"%2Fm%2F027vd9",9,1.27629851917751
"US-AK",2016-06-01,"%2Fm%2F027vd9",26,1.27629851917751
