dma_json_code,date,keyword,hits,ratio
US-AK,2012-01-01,%2Fm%2F07km37,34,1.9717858313026
US-AK,2012-02-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2012-03-01,%2Fm%2F07km37,81,1.9717858313026
US-AK,2012-04-01,%2Fm%2F07km37,31,1.9717858313026
US-AK,2012-05-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2012-06-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2012-07-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2012-08-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2012-09-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2012-10-01,%2Fm%2F07km37,33,1.9717858313026
US-AK,2012-11-01,%2Fm%2F07km37,100,1.9717858313026
US-AK,2012-12-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2013-01-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2013-02-01,%2Fm%2F07km37,34,1.9717858313026
US-AK,2013-03-01,%2Fm%2F07km37,30,1.9717858313026
US-AK,2013-04-01,%2Fm%2F07km37,60,1.9717858313026
US-AK,2013-05-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2013-06-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2013-07-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2013-08-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2013-09-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2013-10-01,%2Fm%2F07km37,29,1.9717858313026
US-AK,2013-11-01,%2Fm%2F07km37,61,1.9717858313026
US-AK,2013-12-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2014-01-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2014-02-01,%2Fm%2F07km37,96,1.9717858313026
US-AK,2014-03-01,%2Fm%2F07km37,28,1.9717858313026
US-AK,2014-04-01,%2Fm%2F07km37,58,1.9717858313026
US-AK,2014-05-01,%2Fm%2F07km37,95,1.9717858313026
US-AK,2014-06-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2014-07-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2014-08-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2014-09-01,%2Fm%2F07km37,33,1.9717858313026
US-AK,2014-10-01,%2Fm%2F07km37,31,1.9717858313026
US-AK,2014-11-01,%2Fm%2F07km37,98,1.9717858313026
US-AK,2014-12-01,%2Fm%2F07km37,33,1.9717858313026
US-AK,2015-01-01,%2Fm%2F07km37,32,1.9717858313026
US-AK,2015-02-01,%2Fm%2F07km37,68,1.9717858313026
US-AK,2015-03-01,%2Fm%2F07km37,63,1.9717858313026
US-AK,2015-04-01,%2Fm%2F07km37,63,1.9717858313026
US-AK,2015-05-01,%2Fm%2F07km37,33,1.9717858313026
US-AK,2015-06-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2015-07-01,%2Fm%2F07km37,63,1.9717858313026
US-AK,2015-08-01,%2Fm%2F07km37,31,1.9717858313026
US-AK,2015-09-01,%2Fm%2F07km37,31,1.9717858313026
US-AK,2015-10-01,%2Fm%2F07km37,58,1.9717858313026
US-AK,2015-11-01,%2Fm%2F07km37,60,1.9717858313026
US-AK,2015-12-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2016-01-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2016-02-01,%2Fm%2F07km37,29,1.9717858313026
US-AK,2016-03-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2016-04-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2016-05-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2016-06-01,%2Fm%2F07km37,0,1.9717858313026
