Age,Total,state
5-9,"1,117,891",NY
10-14,"1,100,705",NY
15-17,"682,702",NY
5-9,"1,117,891",NJ
10-14,"1,100,705",NJ
15-17,"682,702",NJ
5-9,"1,117,891",LA
10-14,"1,100,705",LA
15-17,"682,702",LA
