us_state,date,num_of_searches,bully_type
US-NY,2019-08-01,32,bully
US-NY,2019-09-01,44,bully
US-NY,2019-10-01,55,bully
US-NY,2019-11-01,46,bully
US-NY,2019-12-01,38,bully
US-NY,2020-01-01,36,bully
US-NY,2020-02-01,55,bully
US-NY,2020-03-01,40,bully
US-NY,2020-04-01,37,bully
US-NY,2020-05-01,36,bully
US-NY,2020-06-01,30,bully
US-NY,2020-07-01,31,bully
US-NY,2020-08-01,29,bully
US-NY,2020-09-01,29,bully
US-NY,2020-10-01,40,bully
US-NY,2020-11-01,37,bully
US-NY,2020-12-01,35,bully
US-NY,2021-01-01,32,bully
US-NY,2021-02-01,38,bully
US-NY,2021-03-01,39,bully
US-LA,2012-01-01,85,cyberbully
US-LA,2012-02-01,9,cyberbully
US-LA,2012-03-01,67,cyberbully
US-LA,2012-04-01,97,cyberbully
US-LA,2012-05-01,52,cyberbully
US-LA,2012-06-01,10,cyberbully
US-LA,2012-07-01,13,cyberbully
US-LA,2012-08-01,20,cyberbully
US-LA,2012-09-01,7,cyberbully
US-LA,2012-10-01,59,cyberbully
US-LA,2012-11-01,48,cyberbully
US-LA,2012-12-01,34,cyberbully
US-LA,2013-01-01,11,cyberbully
US-LA,2013-02-01,13,cyberbully
US-LA,2013-03-01,19,cyberbully
US-LA,2013-04-01,70,cyberbully
US-LA,2013-05-01,7,cyberbully
US-LA,2013-06-01,8,cyberbully
US-LA,2013-07-01,27,cyberbully
US-LA,2013-08-01,29,cyberbully
US-LA,2013-09-01,32,cyberbully
US-LA,2013-10-01,39,cyberbully
US-LA,2013-11-01,82,cyberbully
US-LA,2013-12-01,24,cyberbully
US-LA,2014-01-01,37,cyberbully
US-LA,2014-02-01,55,cyberbully
US-LA,2014-03-01,6,cyberbully
US-LA,2014-04-01,25,cyberbully
US-LA,2014-05-01,25,cyberbully
US-LA,2014-06-01,7,cyberbully
US-LA,2014-07-01,7,cyberbully
US-LA,2014-08-01,37,cyberbully
US-LA,2014-09-01,100,cyberbully
US-LA,2014-10-01,75,cyberbully
US-LA,2014-11-01,24,cyberbully
US-LA,2014-12-01,56,cyberbully
US-LA,2015-01-01,0,cyberbully
US-LA,2015-02-01,43,cyberbully
US-LA,2015-03-01,33,cyberbully
US-LA,2015-04-01,77,cyberbully
US-LA,2015-05-01,18,cyberbully
US-LA,2015-06-01,9,cyberbully
US-LA,2015-07-01,10,cyberbully
US-LA,2015-08-01,93,cyberbully
US-LA,2015-09-01,54,cyberbully
US-LA,2015-10-01,44,cyberbully
US-LA,2015-11-01,54,cyberbully
US-LA,2015-12-01,18,cyberbully
US-LA,2016-01-01,24,cyberbully
US-LA,2016-02-01,6,cyberbully
US-LA,2016-03-01,30,cyberbully
US-LA,2016-04-01,47,cyberbully
US-LA,2016-05-01,12,cyberbully
US-LA,2016-06-01,25,cyberbully
US-LA,2016-07-01,12,cyberbully
US-LA,2016-08-01,0,cyberbully
US-LA,2016-09-01,35,cyberbully
US-LA,2016-10-01,57,cyberbully
US-LA,2016-11-01,22,cyberbully
US-LA,2016-12-01,37,cyberbully
US-LA,2017-01-01,10,cyberbully
US-LA,2017-02-01,33,cyberbully
US-LA,2017-03-01,14,cyberbully
US-LA,2017-04-01,43,cyberbully
US-LA,2017-05-01,54,cyberbully
US-LA,2017-06-01,0,cyberbully
US-LA,2017-07-01,17,cyberbully
US-LA,2017-08-01,16,cyberbully
US-LA,2017-09-01,38,cyberbully
US-LA,2017-10-01,20,cyberbully
US-LA,2017-11-01,26,cyberbully
US-LA,2017-12-01,21,cyberbully
US-LA,2018-01-01,19,cyberbully
US-LA,2018-02-01,37,cyberbully
US-LA,2018-03-01,14,cyberbully
US-LA,2018-04-01,25,cyberbully
US-LA,2018-05-01,15,cyberbully
US-LA,2018-06-01,5,cyberbully
US-LA,2018-07-01,15,cyberbully
US-LA,2018-08-01,10,cyberbully
US-LA,2018-09-01,15,cyberbully
US-LA,2018-10-01,25,cyberbully
US-LA,2018-11-01,30,cyberbully
US-LA,2018-12-01,15,cyberbully
US-LA,2019-01-01,15,cyberbully
US-LA,2019-02-01,36,cyberbully
US-LA,2019-03-01,34,cyberbully
US-LA,2019-04-01,26,cyberbully
US-LA,2019-05-01,10,cyberbully
US-LA,2019-06-01,0,cyberbully
US-LA,2019-07-01,15,cyberbully
US-LA,2019-08-01,10,cyberbully
US-LA,2019-09-01,10,cyberbully
US-LA,2019-10-01,31,cyberbully
US-LA,2019-11-01,23,cyberbully
US-LA,2019-12-01,13,cyberbully
US-LA,2020-01-01,17,cyberbully
US-LA,2020-02-01,27,cyberbully
US-LA,2020-03-01,4,cyberbully
US-LA,2020-04-01,16,cyberbully
US-LA,2020-05-01,8,cyberbully
US-LA,2020-06-01,12,cyberbully
US-LA,2020-07-01,17,cyberbully
US-LA,2020-08-01,16,cyberbully
US-LA,2020-09-01,33,cyberbully
